epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,477.754,0.98405,0.77992,1.15132,0.80892,0.78055,0.85859,0.57497,1.16908,0.86555,1.26394,0.000371313,0.000371313,0.000371313
43,488.81,1.00121,0.80655,1.17239,0.8056,0.76302,0.84542,0.57068,1.16174,0.85853,1.24159,0.000365125,0.000365125,0.000365125
44,500.301,0.99066,0.79683,1.15527,0.75748,0.82784,0.85649,0.58143,1.13752,0.82443,1.22561,0.000358938,0.000358938,0.000358938
45,511,0.97511,0.78309,1.15355,0.78604,0.78152,0.85283,0.58518,1.14325,0.7932,1.22466,0.00035275,0.00035275,0.00035275
46,522.051,0.97378,0.74772,1.14367,0.82078,0.76644,0.85968,0.58243,1.15268,0.80308,1.23468,0.000346563,0.000346563,0.000346563
47,533.037,0.96358,0.76405,1.12909,0.77242,0.8239,0.8422,0.57028,1.12553,0.81842,1.20647,0.000340375,0.000340375,0.000340375
48,543.944,0.9823,0.76039,1.13517,0.76252,0.79913,0.84091,0.56891,1.13185,0.83639,1.21674,0.000334188,0.000334188,0.000334188
49,554.755,0.94141,0.73248,1.12988,0.78606,0.76282,0.85356,0.57259,1.15085,0.827,1.24157,0.000328,0.000328,0.000328
50,565.705,0.97454,0.7323,1.13695,0.77021,0.83683,0.85687,0.58453,1.15551,0.81451,1.22289,0.000321812,0.000321812,0.000321812
51,576.593,0.94617,0.71455,1.13221,0.77382,0.79031,0.85547,0.58682,1.13809,0.82844,1.21865,0.000315625,0.000315625,0.000315625
52,587.269,0.93633,0.71569,1.12057,0.75632,0.81243,0.84676,0.57454,1.15845,0.82164,1.24255,0.000309437,0.000309437,0.000309437
53,597.885,0.92543,0.69694,1.12189,0.78951,0.79099,0.85245,0.58566,1.13646,0.8084,1.22346,0.00030325,0.00030325,0.00030325
54,609.083,0.93669,0.71842,1.12981,0.79201,0.8069,0.85736,0.57661,1.15203,0.80875,1.25211,0.000297063,0.000297063,0.000297063
55,619.57,0.92445,0.69892,1.12542,0.81788,0.78513,0.85502,0.57848,1.15966,0.81628,1.25797,0.000290875,0.000290875,0.000290875
56,631.147,0.89842,0.67615,1.08936,0.78277,0.80553,0.84836,0.58236,1.1303,0.82764,1.24225,0.000284688,0.000284688,0.000284688
